sentiment,selected_text
1,congratulatory
0,"Sadly, that`s not too often"
1,good times.
0,The sun is not cool
0,...  that was meeeaaannn.
1,Invisible car helps to boost recycling. Honest
1,pretty.
1,d really love that!
0,so sadly
1,nice
1,Happy
1,Enjoying
1,happy
0,my bad
0,forgot
1,thanxx
0,poorly
1,Happy St
0,I won`t have a chance later.
1,hope
1,s  you`re the best
0,SHUT YOUR FACE!
1,cant wait
1,laavly
0,I`m really getting sick ugh
0,stalkerishly
0,s disappointing
1,hopefully
1,Happy
1,thanks
1,"s fun,"
1,h) wish I could go too
1,excited
0,****
0,mad the rain got me..
0,i dont feel very good
1,congradts on ur show  Even tho i wasnt there lol
1,damjust finished watching Prison Break: the final break...omg i dont think i`ve cried so hard for a show..Finally understand the finale
0,excuse
1,good
1,awesome
0,I`m afraid.
0,I`m not having the best day
1,Welcome
1,Thanks
1,"Thanks,"
1,feeling all homely! off out with Freddie for a fun-packed day
1,I sorry
0,just couldn`t remember!!
1,I wish I had the battery life of an iPhone!
1,happy
1,Omg.
1,better
0,Work in that heat is horrible !
1,d turned me human
1,m glad
1,Thanks Savvv
1,my sleep pattern is screwed
0,isn`t easy to find
1,may the fourth be with you! happy star wars day
0,".just not lucky, never have been."
0,Taking care of yucky stuff.
0,lame
1,good
0,cry
1,HAPPY
1,i hope
0,"I`m tired,"
1,That`s me on a good day
0,not good.
1,: I ADMIRE YOU! you`re amazing! you inspire me to write  <3
1,I LOVE being off work
1,"hahaha, I was busy, now I see what I replied to you!"
1,thank you
0,very bad.
1,Thank you
1,pretty much figured out.
0,I scared
1,Happy mother`s day to you Lexus.  I hopw it`s a nice one for you.
1,love
1,fave
1,Thanks
0,bad
0,"Its prob cuz I don`t really like sleeping in late, even if I tried."
1,Congrats
0,t I`m still stick.
1,ut yes now would be good
0,lost
0,****
0,My throat is killing me
1,awww  I`ll let you off - but you`d better be there for my next 30th! XD
0,bloody
0,o itchy
1,good
1,(much) better cook
1,", enjoy"
1,great
1,Yaay like it !  ?    Love
0,waste
0,'accidentally'
1,Thanks you so much
0,sad me
1,Happy Mother`s Day
0,"SUCKS,"
1,Please feel free to watch and enjoy
1,nice.
1,who I think is very smart
1,o   It looks amazi
1,yeah twitter is a lot of fun babe... especially when you`ve got ppl to talk to! lol & that sounds Goooooood lol
1,loveeee
1,so grateful!!
0,has heart burn
1,thanks to you th
1,Happy
1,luv
0,afraid
0,hard
1,positivity is doin me good! Change it up! Won`t regret it... Forsure..
1,Love
1,laughing
0,.I`ve become poor again
1,worth
0,No internet there.
1,awesome
0,loosing
1,nice we
0,tired?
1,please
0,painful
1,Aw. Toy Story 3 is coming out NEXT year.
1,Happy
1,monumental
1,Good days with good friends ma
0,miss yall
1,OMG I would sooooo make dis show number one
0,i`m all alone
1,n interesting
1,aaawww  no worries
1,fun.
1,nice to have you back
1,Enjoy the coffee.
0,sad!
0,And i freakin miss anthony  ugh today kinda sucks.
1,my little felted thing looks like an incestuous by- product of two of your lovelies
0,s super sad
0,breaks my heart.
1,thanks
0,terrible
1,Happy Mothers Day!
1,Happy
1,happy
0,problem
1,Happy
1,thanks
0,E EXPENSIVE
1,msn-ing. no school  shouldn`t there be more bank holidays? x
0,so sorry
1,AWESOME
1,#NAME?
0,is sad th
0,Poor
0,o can`t work that one out  pain in the **** them spammers
1,i love my brother he`s my best friend
0,**** it. Totally gutted
0,I don`t think I like
0,tan
1,"As opposed to twitter, where all we can do is talk to people.  SL is fun. I already have way too many ways to distract myself."
0,The chances of us falling in love are getting fewer and fewer.
1,Thanks!
0,fusterated
1,gob smacked by how good our presentation was
1,awesome
0,afraid
1,"When balancing a chair on my chin in the sixth form common room got nothing but sneers, I hung those balls up for good"
0,bad
0,jealous
1,niceee
0,I`m SO jealous
0,I`m ill
1,I might really have to join
1,joke
1,wont mind sharing
0,..poor thing.
0,e such a nasty display picture
1,nice
1,thanks  scared of dentists.. looks like I am going to have to get over it and go
0,having fever
0,"Sick. Feel like jello, can`t talk, and delirious."
0,It`s teddy-chucking time
1,great!
1,Thanks for your reply
0,I miss my lappy.
0,"sux,"
1,definitely!
1,good
0,sick
0,my arms hurt!
1,..definitely the best of EBM
0,SO HUNGRY!
0,oh no!!!
0,Miss Cauzinhoooo already
1,Feel free
0,sorry
1,I LLLOOOVVVEEE ICARLY
1,Thanks for all the comments
0,missed
1,Glad to see the sun out in Dublin after a great week
0,You are so weird.
1,had an awsome salad!
1,SO cute
0,hurts
0,lost
1,hahah
1,"Dan`s so funny,"
1,hope your day gets better soon!!
1,Thanks
0,urgh
0,my car wont start.......
0,canceled.
1,adorable
1,I can be on your favorite producers list  lol
1,I`d love to!!
0,The people get so much meaner to you.
0,problem
1,what a beautiful morning!
0,FAILlllllllll
1,Contentment
0,hurt to
0,! sadly
0,noone wants to talk to me  lol
0,so very irratated
1,"thats the most colorful thing ive seen all day,wow."
0,"Yeah, I went to bed at 4 and I had to be up at 6. :["
1,so goo
1,like
0,suck
1,e totally welcome
1,Hey im a fan from New Zealand. Loving the show even tho we are soooo behind in the episodes! haha. Keep up the good work
1,Nice!
1,good
1,yey
0,wtf
0,so emotional.
0,i`ll have to wait..
1,hell yeah!
1,s good
1,great
0,I don`t want her dressed up th
1,win
1,live long
1,#NAME?
0,I`m lost
0,"but not as much,"
1,ShoesShoesShoes.YayYayYay.lol.I
1,but all of my plans were for tonight  well . . . most of them anyway.
0,underpriveledged
1,beautiful
0,e swine flu
1,Happy Mothers day
0,can`t
1,"Heavens,"
1,amazecore!!
0,because no one ever understands me....
0,I overslept  headache
1,Thanks G!
1,happy star wars dayyyy
1,she`s such an amazing singer
1,love
0,too late.
1,hope ya sleepin well  guys
0,I wasn`t feeling it
0,hard
1,Thank you
1,sweet!
1,r the Best Job in the World. Good luck.
1,Happy Mothers Day!!!
1,"y i loved ACS but i had to see it online, is not here yet   cant wait to buy it!!! you look amazing ther"
1,glad
0,hurts
1,were soooooo cute
0,s feel guilty
1,e funny
0,i really cant take this.
1,IN COO
1,wish!
0,bad weather .. weird summer!
0,ugh I`m not doin too good
1,happy couple.
0,it wont let me vote for some reason
0,miss
1,Thanks
1,exciting
1,fan!
1,.THANK GOD
1,glad
0,kill
1,I love being able to run my tongue along my teeth
1,"haha,"
0,it breaks my heart
1,"Awe, THX so much!"
0,I can`t believe I`
1,Have a great time being whisked away
1,lol!
0,made me just shake my head
0,Boring
1,"Thanks,"
1,cheers
0,sad
0,.  this SUCKS
1,w  AWESOME week all around
0,haven`t been working for me all day....
0,Epicfail
0,i`m freezing in math class!
0,endure
1,I`m likable after all HAHAHAHAHAHAHA! Still over the moon
1,wish
1,Goodnight
0,money is all gone!
1,I thought it was pretty good!
1,TY very much for FF
1,Enjoy
0,quashed
1,Happy Mother`s Day to all the mothers out there!!
0,die
1,good luck
1,beautiful.
1,lovingly
1,good
1,l good for you.
1,Rescued two adorable pit mix pups today.
0,ohhh please
0,falling apart.
0,Slept at my parents the bed was hard as a rock now my back feels like a rock
0,don`t want to work
0,s not lettin me vote 4 them
0,ugh!
1,Happy
1,nice
1,thanks
0,miss
0,I hate that I can be a messy eater.
0,hurts
1,advice
1,Great..
1,good
1,i hope
0,wrong
0,. it should be recoverable.
1,thank you
0,this dude looks well `ard! He puts me to shame...
0,omg i miss you so muuch
0,has stuff to do but refuses to do them.  :[
0,one beat up little girl. Not a good day on
1,BEYOND cheap
0,I do not mean to laugh but a little giggle did come out - sorry
1,if someone had`ve told me things would get this hard..i would never have done it
1,Had a blood test today.   Wasn`t too bad really. Needed to dash 2 Starbucks after to revive my spirits with a nice Iced latte & a bun.Yum!
0,No one wants to sit with me
1,"love,"
0,5 seasons that`s it? Sorry just noticed in ur previous update. My sis isn`t gonna be happy
1,Happy
0,I miss rollerblading down Shoreline.
0,crampin`
0,spamming
1,happy
1,The sight of it made my afternoon
0,sad
1,Bonjour Twitterland !
1,Gorgeous day!
1,s  hope tonight is fun
0,Don`t worry.
0,I really am insane.
0,.it`s expensive!
0,i cant figure it out.
1,sweeet
0,Really missing hockey already.
1,Just try to do your best. I hope you don`t get laid off.
1,WELCOME
1,I especially love b-ball.
1,Its the perfect overcast day.
1,great we
1,I love
0,Never ever
0,dismal
0,canceled
0,miss
1,pretty nice.
0,Dryer labeled electric but is gas   GRRR.  Now we have 2 load it up tomorrow 2 return
1,perfect
1,t   hope it rock
0,"I`m so sad, really really sad"
1,WHOO HOO. Congrats on getting under 200lbs
0,inflammed
0,I miss him.
1,Think of it as enthusiastic.
0,bad
0,", so sad"
0,pissed
1,Everything Will Be Great
1,Great tool
0,"oy, im such a nerd..im writin 2 no1 cuz no1 is followin me  i mean lik sum1 was but their account was deleted due to 'strange activities'"
0,dragged
0,?  not good enough
1,"You cant argue w/them, as they actually have zero things to complain"
0,Stupid
0,They`re mental.
0,rotten
1,TY sweetheart
1,"wow, that`s good"
1,gorgeous
1,Happy Mo
0,headed to the hospital. i can`t take the pain anymore
0,jealous.
1,wisely.
1,it`s cool
1,t?  lovelovelove
1,Enjoy! Family trumps everything
0,Bored out of my mind!  LOL
1,Good
1,awesome!
0,difficult
0,Ugh
1,May the 4th be with you
1,cant wait to see
1,good.
1,thanks for the props
0,", awfully"
1,you`re not annoying.
1,looks nice `though
0,i cant sleep
0,"I`m very upset right now,"
1,woowoo!
0,so sad
0,fail
1,thinking
0,anxiety
1,HAPPY
0,miss
0,copy & paste **** **** tosser piss flap a 10000000000 times !!!
0,hurts
0,not treating me well so far.
1,Well it`s nice to `see` you. Have a great day and tweet again soon
0,tired
1,hope yer ok hunny
1,great
0,missed
0,One problem: it wasn`t me.
0,i don`t think i`d like it
1,it`s the best thing
0,ruined
1,thank you.
0,sorry
1,I don`t want to hurt you
1,ABSOLUTELY AMAZING! and i had a good day at work!  YAY i loved the movie! :0
1,"You make me happy, wh"
0,sucks!
1,productive
1,amazing.
1,perfect timing.
0,I hope u r not disappointed yet
0,m still melting and im in the house in the shade  its not fair.
1,"Thanks,"
0,t kills
0,worst
0,..bein sober jst wnt b as fun!
1,I love you
0,lazy
1,have a safe journey
0,s unfortunately
1,great
0,"ouuuuuuuuuchhhhhhhh, still hurting from the Barca spanking"
0,but I don`t think I can get there
1,awwww..... thought it`d be a 'yummy' experience.  Will try it next time
0,. Apologies to all my supporters.
1,s growing
0,ugh
0,oops
1,s amazing
0,Dang
1,lol
0,", sorry"
1,sounds fun
0,TOO MANY ASSIGNMENTS!
1,Gooood
1,Good morning
1,"cool,"
1,.love 6th graders
1,good night everyone!
1,a.wish
1,would be muchly appreciated
1,Happy
1,yum
0,lost a follower
0,but this little boy still makin me  work during the storm!!!
1,HAPPY B-DAY SHARON
1,to have sweet dreams of you
0,Things aren`t just as easy and simple as they seem to be.
0,s on twitter for the second day running. This is what study leave does to me! If only my car were in one piece
1,thanks 4 all the love n support.
0,"Unfortunately not yet,"
1,play time
1,is satisfied with her FP`09 review
1,Hope
0,hurts..
0,wish I could afford
1,lovel
0,hangover
1,goodnight everyone
1,just trying to make you feel at home?
0,My attempts at writing tonight seem to be failing.
0,Very bad things..
0,die
1,excited
1,HAPPY MOTHER`S DAY
0,Sorry
0,? made me jealous
0,"In pain,, poor me, I HATE THE SUN"
1,LOVED
0,boring
1,Enjoying
0,I can`t  has blocked me.  I can`t even reques
0,frustrated
1,Good night<3
0,****
0,horrible.
1,awesome.
1,good
1,Fab
1,loves
1,super-excited
0,my tv on demad isnt working right and my internet is SUPER slow
0,I AM SLEEEEEPPYYYYYY!!!!!!!!
1,you better come back soon! <3
0,she`s gone   I miss my kay way already
1,YAY! GO TAYLOR SWIFT!! come to australia again!!!
0,Missing nathan and the bccg already.
1,love u
1,looking forward to coffee and driving tomorrow. really
0,walking in the cold **** water
0,i don`t like it
1,cheers
1,Good
1,she has made the rite decision
1,loves
1,bless her!
1,Somebody please save the polar bears!
0,bust.
1,Happ
1,awesome
1,happy mom day 2 me!
1,yuppie
1,hope
0,fail..
0,w she won`t be awesome at all
0,sucks
1,had a great time talkin
0,you suck
1,haha
1,d i`m really excited
0,The case for my iPod Touch is literally falling apart.  So junk
1,best night everr!
1,i love you mooorrreeee
0,I dont care who gets mad. I like speaking my mind. Im alreadt crazy so it helps me not go off da deep edge! **** u!
1,thank you
1,thursday night was amazing ta
0,throat infection
1,thanks
1,hopefull
1,good
0,I cant to sleep an
0,Please accept our apologies for the inconvenience!
0,t boring
0,little sad th
0,"oops just unfollowed everyone!  anywayz, will build my Twitter Empire.... again...."
0,scary
0,feeling the beginnings of a sore throat
0,I **** it.
0,bgt was absolutely excruciating to watch...poor girl.
1,quite all right.
0,"oops,"
0,soo sick. i hate my life
0,I hate wa
1,"oh my god, i finally found someone online!"
1,good
0,ruined
1,o thank
0,suck
0,", I feel bad for everyone in NKorea."
1,Great
1,hope you all enjoy the smoothness on this lovely weekend
1,proud
1,will work on that too
0,"Feeling so rough today,"
1,so much fun!!
1,happy birthday
1,work really hard
1,"Oh great, Radio Disney doesn`t crash with the latest webkit, so my kid can run it again. HEY WAIT."
1,congratulations!
1,Sorry for your loss.  I know how you feel.  She or he was a lucky cat
1,haha
1,Lookin forward to
0,Still soo tired..
0,sucks
0,miss
1,love
1,nice place to
1,Thanks very much!
1,I hope it`s nothing too serious.
0,missing
1,enjoy
0,bored
0,mistake.
0,**** slow
1,d love
1,s almost working.
1,Swords make everyone sexy.
1,Excited
1,great
1,hoping everything is going well
1,I love you WAZ!
0,I`m so down again.
1,likes patricia`s dress
0,chai latte is not good
0,I`m under the dryer.
1,great
1,"I am up to 10,000 tweets"
1,enjoy
1,decorated quite appropriately. I love it
1,goodnight everyone.
0,hyper
1,morrrning. time for school. (: ti
1,Partied long and hard...goodnight Twitter see ya in the mornin
0,bed. with stomach ache
0,my computer is being stupid and wont let me vote  . if i could i would vote for u.
0,miss
0,too bad no
0,m impatient
1,awesome.
0,annoying
0,such a low budget video
0,fam is not appreciating you like they should.
0,is still sick
1,i am with you
1,"you two are hilaaaaarious, I love it."
0,****
1,feels accomplished!!!  She got a lot done today!
1,good sm
1,omgggg!! Hawaii!! That`s amazing!! I wanna live there
1,great time anyways.
1,love
1,"like it anyway,"
1,clean
0,miss
1,HAPPY STAR WARS DAY!!!
1,Good morning
1,Enjoy my li`l night owls!
1,I knew my day was going to well.
0,sore
1,I do this one for fun.
0,jealous
1,love
0,sorry for the late reply
1,work was splendid
0,miss my best friend
0,Sorry
0,so low? No
1,like
1,Well best of luck
1,yeah it does...i had fun today...i regret not taking that cup now...it was awesome...i must find one just like it now
1,yummy!
1,"b likes xbox,"
0,sad
0,up the blues
0,his wife hadn`t held onto the debit card be
0,How is she spoilt? She`s like 10? 11? That was hard for her to be put up in front of 14m people.
1,That`s great news
0,.ughhhh!
1,worth
1,o stoked!
1,i love
1,Can`t wait for  live!
1,er fairly well!
1,Lol @ me and  whispering so we don`t get in trouble and being almost 30! Feels great to be home feeling like kids
1,great!
1,thx
1,Thanks.
1,Nice
0,What killed me was the 150 lb dummy that you can`t drag.
0,I accidentaly slammed my finger in the trunk
0,**** it!
0,****.
0,NOOOOO I hate traffic
0,I miss you too.
0,sorry
0,heartburn
1,ahmazing
0,bummed
1,amaze
1,They say I look yummy
0,.sorry
1,thats much better
1,Love you all!
1,d its not that cold ahahah
1,favourite photo (t
1,i gave u thanx awesome person
1,great day
1,awesome
1,"Awesome,"
1,fun!
1,Happy
1,LOVING
1,yaaaaaay
0,n depressing
0,", i think or very late 2009! its just wrong"
0,miss
1,Good morning!
0,annoyed that everyone seems to tan apart from me! freckles and sunburn
1,proud
0,can`t believe they`re divorcing
0,bad
1,their like celebrities
0,My poor wife.
1,gotta love how im waking home at midnite. dangggg pray for mr. im so jumpy
0,blacklisted by IT here..
1,luvin
1,Great
0,e feeling  Its a little depressing
1,lucky u;-) no park for me  maybe for a short period ... i really have some stuff to be done untill Wed
0,****
1,I`m glad
0,scratchy
0,n i wont be home to co host with you!
1,"Haha,"
1,hopefully
1,like
0,ughhhhhhhhhhhh  :/
1,.you know me to well i love it...soooo me lol
0,", to think their wives are nuts."
0,doesn`t work
0,no fair.
0,Bad
1,better
1,Happy
0,Trying to recover photos after a problem between Windows and my XD card. Result: shots are all half visible  **** Microsoft...
0,"Wish I could listen but because I`m from Canada, the website won`t let me!"
1,hopefuly
0,e not interested
0,hate
1,Happy
0,sorry
1,it was sooooo much fun!!!
1,"mmmm it all sounds tasty. i had some spiced rum earlier, yummmmmyyyy also herbs are always good although better when shared"
